"국가별","항목","시점","성별",데이터
"아시아","총사망자","2006","합계",
"아시아","총사망자","2006","남자",
"아시아","총사망자","2006","여자",
"아시아","특정감염성 및 기생충성질환","2006","합계",
"아시아","특정감염성 및 기생충성질환","2006","남자",
"아시아","특정감염성 및 기생충성질환","2006","여자",
"아시아","- 호흡기결핵","2006","합계",
"아시아","- 호흡기결핵","2006","남자",
"아시아","- 호흡기결핵","2006","여자",
"아시아","악성신생물(암)","2006","합계",
"아시아","악성신생물(암)","2006","남자",
"아시아","악성신생물(암)","2006","여자",
"아시아","- 위","2006","합계",
"아시아","- 위","2006","남자",
"아시아","- 위","2006","여자",
"아시아","- 간 및 간내 쓸개관","2006","합계",
"아시아","- 간 및 간내 쓸개관","2006","남자",
"아시아","- 간 및 간내 쓸개관","2006","여자",
"아시아","- 기관·기관지 및 폐","2006","합계",
"아시아","- 기관·기관지 및 폐","2006","남자",
"아시아","- 기관·기관지 및 폐","2006","여자",
"아시아","- 유방","2006","합계",
"아시아","- 유방","2006","남자",
"아시아","- 유방","2006","여자",
"아시아","당뇨병","2006","합계",
"아시아","당뇨병","2006","남자",
"아시아","당뇨병","2006","여자",
"아시아","순환기계통의 질환","2006","합계",
"아시아","순환기계통의 질환","2006","남자",
"아시아","순환기계통의 질환","2006","여자",
"아시아","- 고혈압성질환","2006","합계",
"아시아","- 고혈압성질환","2006","남자",
"아시아","- 고혈압성질환","2006","여자",
"아시아","- 허혈성심질환","2006","합계",
"아시아","- 허혈성심질환","2006","남자",
"아시아","- 허혈성심질환","2006","여자",
"아시아","- 뇌혈관질환","2006","합계",
"아시아","- 뇌혈관질환","2006","남자",
"아시아","- 뇌혈관질환","2006","여자",
"아시아","호흡기계통의 질환","2006","합계",
"아시아","호흡기계통의 질환","2006","남자",
"아시아","호흡기계통의 질환","2006","여자",
"아시아","소화기계통의 질환","2006","합계",
"아시아","소화기계통의 질환","2006","남자",
"아시아","소화기계통의 질환","2006","여자",
"아시아","- 간질환","2006","합계",
"아시아","- 간질환","2006","남자",
"아시아","- 간질환","2006","여자",
"아시아","사망의 외부요인","2006","합계",
"아시아","사망의 외부요인","2006","남자",
"아시아","사망의 외부요인","2006","여자",
"아시아","- 운수사고","2006","합계",
"아시아","- 운수사고","2006","남자",
"아시아","- 운수사고","2006","여자",
"아시아","- 고의적 자해(자살)","2006","합계",
"아시아","- 고의적 자해(자살)","2006","남자",
"아시아","- 고의적 자해(자살)","2006","여자",
"한국","총사망자","2006","합계",478.2
"한국","총사망자","2006","남자",651.5
"한국","총사망자","2006","여자",353.0
"한국","특정감염성 및 기생충성질환","2006","합계",10.4
"한국","특정감염성 및 기생충성질환","2006","남자",15.7
"한국","특정감염성 및 기생충성질환","2006","여자",6.8
"한국","- 호흡기결핵","2006","합계",5.6
"한국","- 호흡기결핵","2006","남자",9.8
"한국","- 호흡기결핵","2006","여자",2.9
"한국","악성신생물(암)","2006","합계",122.2
"한국","악성신생물(암)","2006","남자",189.9
"한국","악성신생물(암)","2006","여자",76.5
"한국","- 위","2006","합계",20.0
"한국","- 위","2006","남자",32.2
"한국","- 위","2006","여자",11.7
"한국","- 간 및 간내 쓸개관","2006","합계",19.6
"한국","- 간 및 간내 쓸개관","2006","남자",33.2
"한국","- 간 및 간내 쓸개관","2006","여자",8.6
"한국","- 기관·기관지 및 폐","2006","합계",26.3
"한국","- 기관·기관지 및 폐","2006","남자",49.3
"한국","- 기관·기관지 및 폐","2006","여자",11.4
"한국","- 유방","2006","여자",5.3
"한국","당뇨병","2006","합계",22.0
"한국","당뇨병","2006","남자",27.1
"한국","당뇨병","2006","여자",18.1
"한국","순환기계통의 질환","2006","합계",110.7
"한국","순환기계통의 질환","2006","남자",136.6
"한국","순환기계통의 질환","2006","여자",91.6
"한국","- 고혈압성질환","2006","합계",9.5
"한국","- 고혈압성질환","2006","남자",8.8
"한국","- 고혈압성질환","2006","여자",9.5
"한국","- 허혈성심질환","2006","합계",27.9
"한국","- 허혈성심질환","2006","남자",36.4
"한국","- 허혈성심질환","2006","여자",21.3
"한국","- 뇌혈관질환","2006","합계",58.8
"한국","- 뇌혈관질환","2006","남자",74.1
"한국","- 뇌혈관질환","2006","여자",48.7
"한국","호흡기계통의 질환","2006","합계",29.2
"한국","호흡기계통의 질환","2006","남자",49.1
"한국","호흡기계통의 질환","2006","여자",18.4
"한국","소화기계통의 질환","2006","합계",19.5
"한국","소화기계통의 질환","2006","남자",30.9
"한국","소화기계통의 질환","2006","여자",9.5
"한국","- 간질환","2006","합계",13.3
"한국","- 간질환","2006","남자",22.9
"한국","- 간질환","2006","여자",4.7
"한국","사망의 외부요인","2006","합계",55.4
"한국","사망의 외부요인","2006","남자",81.5
"한국","사망의 외부요인","2006","여자",32.9
"한국","- 운수사고","2006","합계",14.6
"한국","- 운수사고","2006","남자",22.8
"한국","- 운수사고","2006","여자",7.5
"한국","- 고의적 자해(자살)","2006","합계",19.3
"한국","- 고의적 자해(자살)","2006","남자",28.3
"한국","- 고의적 자해(자살)","2006","여자",11.9
"아르메니아","총사망자","2006","합계",754.2
"아르메니아","총사망자","2006","남자",947.9
"아르메니아","총사망자","2006","여자",600.7
"아르메니아","특정감염성 및 기생충성질환","2006","합계",8.9
"아르메니아","특정감염성 및 기생충성질환","2006","남자",14.9
"아르메니아","특정감염성 및 기생충성질환","2006","여자",4.1
"아르메니아","- 호흡기결핵","2006","합계",5.6
"아르메니아","- 호흡기결핵","2006","남자",11.2
"아르메니아","- 호흡기결핵","2006","여자",1.1
"아르메니아","악성신생물(암)","2006","합계",144.2
"아르메니아","악성신생물(암)","2006","남자",185.8
"아르메니아","악성신생물(암)","2006","여자",113.6
"아르메니아","- 위","2006","합계",12.3
"아르메니아","- 위","2006","남자",17.5
"아르메니아","- 위","2006","여자",8.5
"아르메니아","- 간 및 간내 쓸개관","2006","합계",9.6
"아르메니아","- 간 및 간내 쓸개관","2006","남자",12.0
"아르메니아","- 간 및 간내 쓸개관","2006","여자",7.8
"아르메니아","- 기관·기관지 및 폐","2006","합계",32.7
"아르메니아","- 기관·기관지 및 폐","2006","남자",63.5
"아르메니아","- 기관·기관지 및 폐","2006","여자",9.7
"아르메니아","- 유방","2006","여자",24.1
"아르메니아","당뇨병","2006","합계",30.9
"아르메니아","당뇨병","2006","남자",28.1
"아르메니아","당뇨병","2006","여자",32.4
"아르메니아","순환기계통의 질환","2006","합계",364.1
"아르메니아","순환기계통의 질환","2006","남자",439.3
"아르메니아","순환기계통의 질환","2006","여자",303.4
"아르메니아","- 고혈압성질환","2006","합계",7.7
"아르메니아","- 고혈압성질환","2006","남자",6.5
"아르메니아","- 고혈압성질환","2006","여자",8.4
"아르메니아","- 허혈성심질환","2006","합계",229.4
"아르메니아","- 허혈성심질환","2006","남자",294.9
"아르메니아","- 허혈성심질환","2006","여자",177.7
"아르메니아","- 뇌혈관질환","2006","합계",87.8
"아르메니아","- 뇌혈관질환","2006","남자",92.4
"아르메니아","- 뇌혈관질환","2006","여자",83.2
"아르메니아","호흡기계통의 질환","2006","합계",54.7
"아르메니아","호흡기계통의 질환","2006","남자",72.3
"아르메니아","호흡기계통의 질환","2006","여자",41.8
"아르메니아","소화기계통의 질환","2006","합계",43.1
"아르메니아","소화기계통의 질환","2006","남자",60.1
"아르메니아","소화기계통의 질환","2006","여자",30.0
"아르메니아","- 간질환","2006","합계",27.7
"아르메니아","- 간질환","2006","남자",39.7
"아르메니아","- 간질환","2006","여자",18.6
"아르메니아","사망의 외부요인","2006","합계",41.4
"아르메니아","사망의 외부요인","2006","남자",69.4
"아르메니아","사망의 외부요인","2006","여자",18.0
"아르메니아","- 운수사고","2006","합계",5.8
"아르메니아","- 운수사고","2006","남자",9.5
"아르메니아","- 운수사고","2006","여자",2.7
"아르메니아","- 고의적 자해(자살)","2006","합계",2.4
"아르메니아","- 고의적 자해(자살)","2006","남자",4.2
"아르메니아","- 고의적 자해(자살)","2006","여자",0.9
"바레인","총사망자","2006","합계",551.3
"바레인","총사망자","2006","남자",591.0
"바레인","총사망자","2006","여자",508.7
"바레인","특정감염성 및 기생충성질환","2006","합계",21.6
"바레인","특정감염성 및 기생충성질환","2006","남자",19.5
"바레인","특정감염성 및 기생충성질환","2006","여자",23.1
"바레인","- 호흡기결핵","2006","합계",1.1
"바레인","- 호흡기결핵","2006","남자",2.2
"바레인","- 호흡기결핵","2006","여자",0.0
"바레인","악성신생물(암)","2006","합계",59.4
"바레인","악성신생물(암)","2006","남자",62.8
"바레인","악성신생물(암)","2006","여자",60.8
"바레인","- 위","2006","합계",3.0
"바레인","- 위","2006","남자",3.6
"바레인","- 위","2006","여자",2.7
"바레인","- 간 및 간내 쓸개관","2006","합계",2.4
"바레인","- 간 및 간내 쓸개관","2006","남자",2.5
