"국가별","항목","시점","성별",데이터
"아시아","총사망자","2017","합계",
"아시아","총사망자","2017","남자",
"아시아","총사망자","2017","여자",
"아시아","특정감염성 및 기생충성질환","2017","합계",
"아시아","특정감염성 및 기생충성질환","2017","남자",
"아시아","특정감염성 및 기생충성질환","2017","여자",
"아시아","- 호흡기결핵","2017","합계",
"아시아","- 호흡기결핵","2017","남자",
"아시아","- 호흡기결핵","2017","여자",
"아시아","악성신생물(암)","2017","합계",
"아시아","악성신생물(암)","2017","남자",
"아시아","악성신생물(암)","2017","여자",
"아시아","- 위","2017","합계",
"아시아","- 위","2017","남자",
"아시아","- 위","2017","여자",
"아시아","- 간 및 간내 쓸개관","2017","합계",
"아시아","- 간 및 간내 쓸개관","2017","남자",
"아시아","- 간 및 간내 쓸개관","2017","여자",
"아시아","- 기관·기관지 및 폐","2017","합계",
"아시아","- 기관·기관지 및 폐","2017","남자",
"아시아","- 기관·기관지 및 폐","2017","여자",
"아시아","- 유방","2017","합계",
"아시아","- 유방","2017","남자",
"아시아","- 유방","2017","여자",
"아시아","당뇨병","2017","합계",
"아시아","당뇨병","2017","남자",
"아시아","당뇨병","2017","여자",
"아시아","순환기계통의 질환","2017","합계",
"아시아","순환기계통의 질환","2017","남자",
"아시아","순환기계통의 질환","2017","여자",
"아시아","- 고혈압성질환","2017","합계",
"아시아","- 고혈압성질환","2017","남자",
"아시아","- 고혈압성질환","2017","여자",
"아시아","- 허혈성심질환","2017","합계",
"아시아","- 허혈성심질환","2017","남자",
"아시아","- 허혈성심질환","2017","여자",
"아시아","- 뇌혈관질환","2017","합계",
"아시아","- 뇌혈관질환","2017","남자",
"아시아","- 뇌혈관질환","2017","여자",
"아시아","호흡기계통의 질환","2017","합계",
"아시아","호흡기계통의 질환","2017","남자",
"아시아","호흡기계통의 질환","2017","여자",
"아시아","소화기계통의 질환","2017","합계",
"아시아","소화기계통의 질환","2017","남자",
"아시아","소화기계통의 질환","2017","여자",
"아시아","- 간질환","2017","합계",
"아시아","- 간질환","2017","남자",
"아시아","- 간질환","2017","여자",
"아시아","사망의 외부요인","2017","합계",
"아시아","사망의 외부요인","2017","남자",
"아시아","사망의 외부요인","2017","여자",
"아시아","- 운수사고","2017","합계",
"아시아","- 운수사고","2017","남자",
"아시아","- 운수사고","2017","여자",
"아시아","- 고의적 자해(자살)","2017","합계",
"아시아","- 고의적 자해(자살)","2017","남자",
"아시아","- 고의적 자해(자살)","2017","여자",
"한국","총사망자","2017","합계",557.3
"한국","총사망자","2017","남자",603.4
"한국","총사망자","2017","여자",511.4
"한국","특정감염성 및 기생충성질환","2017","합계",15.6
"한국","특정감염성 및 기생충성질환","2017","남자",15.0
"한국","특정감염성 및 기생충성질환","2017","여자",16.2
"한국","- 호흡기결핵","2017","합계",3.3
"한국","- 호흡기결핵","2017","남자",4.1
"한국","- 호흡기결핵","2017","여자",2.5
"한국","악성신생물(암)","2017","합계",153.9
"한국","악성신생물(암)","2017","남자",191.1
"한국","악성신생물(암)","2017","여자",116.9
"한국","- 위","2017","합계",15.7
"한국","- 위","2017","남자",20.2
"한국","- 위","2017","여자",11.2
"한국","- 간 및 간내 쓸개관","2017","합계",20.9
"한국","- 간 및 간내 쓸개관","2017","남자",31.2
"한국","- 간 및 간내 쓸개관","2017","여자",10.7
"한국","- 기관·기관지 및 폐","2017","합계",35.1
"한국","- 기관·기관지 및 폐","2017","남자",51.9
"한국","- 기관·기관지 및 폐","2017","여자",18.4
"한국","- 유방","2017","합계",4.9
"한국","- 유방","2017","남자",0.1
"한국","- 유방","2017","여자",9.7
"한국","당뇨병","2017","합계",17.9
"한국","당뇨병","2017","남자",17.6
"한국","당뇨병","2017","여자",18.2
"한국","순환기계통의 질환","2017","합계",119.6
"한국","순환기계통의 질환","2017","남자",112.1
"한국","순환기계통의 질환","2017","여자",127.0
"한국","- 고혈압성질환","2017","합계",11.3
"한국","- 고혈압성질환","2017","남자",6.9
"한국","- 고혈압성질환","2017","여자",15.6
"한국","- 허혈성심질환","2017","합계",27.8
"한국","- 허혈성심질환","2017","남자",30.7
"한국","- 허혈성심질환","2017","여자",25.0
"한국","- 뇌혈관질환","2017","합계",44.4
"한국","- 뇌혈관질환","2017","남자",42.7
"한국","- 뇌혈관질환","2017","여자",46.1
"한국","호흡기계통의 질환","2017","합계",63.7
"한국","호흡기계통의 질환","2017","남자",70.9
"한국","호흡기계통의 질환","2017","여자",56.6
"한국","소화기계통의 질환","2017","합계",23.7
"한국","소화기계통의 질환","2017","남자",29.5
"한국","소화기계통의 질환","2017","여자",17.9
"한국","- 간질환","2017","합계",13.3
"한국","- 간질환","2017","남자",20.0
"한국","- 간질환","2017","여자",6.5
"한국","사망의 외부요인","2017","합계",53.0
"한국","사망의 외부요인","2017","남자",73.1
"한국","사망의 외부요인","2017","여자",33.0
"한국","- 운수사고","2017","합계",9.8
"한국","- 운수사고","2017","남자",14.6
"한국","- 운수사고","2017","여자",5.1
"한국","- 고의적 자해(자살)","2017","합계",24.3
"한국","- 고의적 자해(자살)","2017","남자",34.9
"한국","- 고의적 자해(자살)","2017","여자",13.8
"북아메리카","총사망자","2017","합계",
"북아메리카","총사망자","2017","남자",
"북아메리카","총사망자","2017","여자",
"북아메리카","특정감염성 및 기생충성질환","2017","합계",
"북아메리카","특정감염성 및 기생충성질환","2017","남자",
"북아메리카","특정감염성 및 기생충성질환","2017","여자",
"북아메리카","- 호흡기결핵","2017","합계",
"북아메리카","- 호흡기결핵","2017","남자",
"북아메리카","- 호흡기결핵","2017","여자",
"북아메리카","악성신생물(암)","2017","합계",
"북아메리카","악성신생물(암)","2017","남자",
"북아메리카","악성신생물(암)","2017","여자",
"북아메리카","- 위","2017","합계",
"북아메리카","- 위","2017","남자",
"북아메리카","- 위","2017","여자",
"북아메리카","- 간 및 간내 쓸개관","2017","합계",
"북아메리카","- 간 및 간내 쓸개관","2017","남자",
"북아메리카","- 간 및 간내 쓸개관","2017","여자",
"북아메리카","- 기관·기관지 및 폐","2017","합계",
