"국가별","항목","시점","성별",데이터
"아시아","총사망자","2016","합계",
"아시아","총사망자","2016","남자",
"아시아","총사망자","2016","여자",
"아시아","특정감염성 및 기생충성질환","2016","합계",
"아시아","특정감염성 및 기생충성질환","2016","남자",
"아시아","특정감염성 및 기생충성질환","2016","여자",
"아시아","- 호흡기결핵","2016","합계",
"아시아","- 호흡기결핵","2016","남자",
"아시아","- 호흡기결핵","2016","여자",
"아시아","악성신생물(암)","2016","합계",
"아시아","악성신생물(암)","2016","남자",
"아시아","악성신생물(암)","2016","여자",
"아시아","- 위","2016","합계",
"아시아","- 위","2016","남자",
"아시아","- 위","2016","여자",
"아시아","- 간 및 간내 쓸개관","2016","합계",
"아시아","- 간 및 간내 쓸개관","2016","남자",
"아시아","- 간 및 간내 쓸개관","2016","여자",
"아시아","- 기관·기관지 및 폐","2016","합계",
"아시아","- 기관·기관지 및 폐","2016","남자",
"아시아","- 기관·기관지 및 폐","2016","여자",
"아시아","- 유방","2016","합계",
"아시아","- 유방","2016","남자",
"아시아","- 유방","2016","여자",
"아시아","당뇨병","2016","합계",
"아시아","당뇨병","2016","남자",
"아시아","당뇨병","2016","여자",
"아시아","순환기계통의 질환","2016","합계",
"아시아","순환기계통의 질환","2016","남자",
"아시아","순환기계통의 질환","2016","여자",
"아시아","- 고혈압성질환","2016","합계",
"아시아","- 고혈압성질환","2016","남자",
"아시아","- 고혈압성질환","2016","여자",
"아시아","- 허혈성심질환","2016","합계",
"아시아","- 허혈성심질환","2016","남자",
"아시아","- 허혈성심질환","2016","여자",
"아시아","- 뇌혈관질환","2016","합계",
"아시아","- 뇌혈관질환","2016","남자",
"아시아","- 뇌혈관질환","2016","여자",
"아시아","호흡기계통의 질환","2016","합계",
"아시아","호흡기계통의 질환","2016","남자",
"아시아","호흡기계통의 질환","2016","여자",
"아시아","소화기계통의 질환","2016","합계",
"아시아","소화기계통의 질환","2016","남자",
"아시아","소화기계통의 질환","2016","여자",
"아시아","- 간질환","2016","합계",
"아시아","- 간질환","2016","남자",
"아시아","- 간질환","2016","여자",
"아시아","사망의 외부요인","2016","합계",
"아시아","사망의 외부요인","2016","남자",
"아시아","사망의 외부요인","2016","여자",
"아시아","- 운수사고","2016","합계",
"아시아","- 운수사고","2016","남자",
"아시아","- 운수사고","2016","여자",
"아시아","- 고의적 자해(자살)","2016","합계",
"아시아","- 고의적 자해(자살)","2016","남자",
"아시아","- 고의적 자해(자살)","2016","여자",
"한국","총사망자","2016","합계",549.4
"한국","총사망자","2016","남자",597.5
"한국","총사망자","2016","여자",501.5
"한국","특정감염성 및 기생충성질환","2016","합계",15.5
"한국","특정감염성 및 기생충성질환","2016","남자",15.6
"한국","특정감염성 및 기생충성질환","2016","여자",15.5
"한국","- 호흡기결핵","2016","합계",4.0
"한국","- 호흡기결핵","2016","남자",5.0
"한국","- 호흡기결핵","2016","여자",2.9
"한국","악성신생물(암)","2016","합계",153.0
"한국","악성신생물(암)","2016","남자",188.8
"한국","악성신생물(암)","2016","여자",117.2
"한국","- 위","2016","합계",16.2
"한국","- 위","2016","남자",20.8
"한국","- 위","2016","여자",11.5
"한국","- 간 및 간내 쓸개관","2016","합계",21.5
"한국","- 간 및 간내 쓸개관","2016","남자",31.5
"한국","- 간 및 간내 쓸개관","2016","여자",11.6
"한국","- 기관·기관지 및 폐","2016","합계",35.1
"한국","- 기관·기관지 및 폐","2016","남자",52.2
"한국","- 기관·기관지 및 폐","2016","여자",18.1
"한국","- 유방","2016","합계",4.8
"한국","- 유방","2016","남자",0.1
"한국","- 유방","2016","여자",9.6
"한국","당뇨병","2016","합계",19.2
"한국","당뇨병","2016","남자",19.2
"한국","당뇨병","2016","여자",19.2
"한국","순환기계통의 질환","2016","합계",118.1
"한국","순환기계통의 질환","2016","남자",111.4
"한국","순환기계통의 질환","2016","여자",124.9
"한국","- 고혈압성질환","2016","합계",10.6
"한국","- 고혈압성질환","2016","남자",6.5
"한국","- 고혈압성질환","2016","여자",14.6
"한국","- 허혈성심질환","2016","합계",28.7
"한국","- 허혈성심질환","2016","남자",31.0
"한국","- 허혈성심질환","2016","여자",26.3
"한국","- 뇌혈관질환","2016","합계",45.8
"한국","- 뇌혈관질환","2016","남자",44.2
"한국","- 뇌혈관질환","2016","여자",47.4
"한국","호흡기계통의 질환","2016","합계",57.5
"한국","호흡기계통의 질환","2016","남자",64.2
"한국","호흡기계통의 질환","2016","여자",50.8
"한국","소화기계통의 질환","2016","합계",23.4
"한국","소화기계통의 질환","2016","남자",29.7
"한국","소화기계통의 질환","2016","여자",17.0
"한국","- 간질환","2016","합계",13.3
"한국","- 간질환","2016","남자",20.2
"한국","- 간질환","2016","여자",6.4
"한국","사망의 외부요인","2016","합계",55.2
"한국","사망의 외부요인","2016","남자",75.5
"한국","사망의 외부요인","2016","여자",35.0
"한국","- 운수사고","2016","합계",10.1
"한국","- 운수사고","2016","남자",14.7
