"국가별","항목","시점","성별",데이터
"아시아","총사망자","2011","합계",
"아시아","총사망자","2011","남자",
"아시아","총사망자","2011","여자",
"아시아","특정감염성 및 기생충성질환","2011","합계",
"아시아","특정감염성 및 기생충성질환","2011","남자",
"아시아","특정감염성 및 기생충성질환","2011","여자",
"아시아","- 호흡기결핵","2011","합계",
"아시아","- 호흡기결핵","2011","남자",
"아시아","- 호흡기결핵","2011","여자",
"아시아","악성신생물(암)","2011","합계",
"아시아","악성신생물(암)","2011","남자",
"아시아","악성신생물(암)","2011","여자",
"아시아","- 위","2011","합계",
"아시아","- 위","2011","남자",
"아시아","- 위","2011","여자",
"아시아","- 간 및 간내 쓸개관","2011","합계",
"아시아","- 간 및 간내 쓸개관","2011","남자",
"아시아","- 간 및 간내 쓸개관","2011","여자",
"아시아","- 기관·기관지 및 폐","2011","합계",
"아시아","- 기관·기관지 및 폐","2011","남자",
"아시아","- 기관·기관지 및 폐","2011","여자",
"아시아","- 유방","2011","합계",
"아시아","- 유방","2011","남자",
"아시아","- 유방","2011","여자",
"아시아","당뇨병","2011","합계",
"아시아","당뇨병","2011","남자",
"아시아","당뇨병","2011","여자",
"아시아","순환기계통의 질환","2011","합계",
"아시아","순환기계통의 질환","2011","남자",
"아시아","순환기계통의 질환","2011","여자",
"아시아","- 고혈압성질환","2011","합계",
"아시아","- 고혈압성질환","2011","남자",
"아시아","- 고혈압성질환","2011","여자",
"아시아","- 허혈성심질환","2011","합계",
"아시아","- 허혈성심질환","2011","남자",
"아시아","- 허혈성심질환","2011","여자",
"아시아","- 뇌혈관질환","2011","합계",
"아시아","- 뇌혈관질환","2011","남자",
"아시아","- 뇌혈관질환","2011","여자",
"아시아","호흡기계통의 질환","2011","합계",
"아시아","호흡기계통의 질환","2011","남자",
"아시아","호흡기계통의 질환","2011","여자",
"아시아","소화기계통의 질환","2011","합계",
"아시아","소화기계통의 질환","2011","남자",
"아시아","소화기계통의 질환","2011","여자",
"아시아","- 간질환","2011","합계",
"아시아","- 간질환","2011","남자",
"아시아","- 간질환","2011","여자",
"아시아","사망의 외부요인","2011","합계",
"아시아","사망의 외부요인","2011","남자",
"아시아","사망의 외부요인","2011","여자",
"아시아","- 운수사고","2011","합계",
"아시아","- 운수사고","2011","남자",
"아시아","- 운수사고","2011","여자",
"아시아","- 고의적 자해(자살)","2011","합계",
"아시아","- 고의적 자해(자살)","2011","남자",
"아시아","- 고의적 자해(자살)","2011","여자",
"한국","총사망자","2011","합계",400.4
"한국","총사망자","2011","남자",554.8
"한국","총사망자","2011","여자",287.9
"한국","특정감염성 및 기생충성질환","2011","합계",10.4
"한국","특정감염성 및 기생충성질환","2011","남자",14.6
"한국","특정감염성 및 기생충성질환","2011","여자",7.5
"한국","- 호흡기결핵","2011","합계",4.0
"한국","- 호흡기결핵","2011","남자",6.7
"한국","- 호흡기결핵","2011","여자",2.3
