"국가별","항목","시점","성별",데이터
"아시아","총사망자","2001","합계",
"아시아","총사망자","2001","남자",
"아시아","총사망자","2001","여자",
"아시아","특정감염성 및 기생충성질환","2001","합계",
"아시아","특정감염성 및 기생충성질환","2001","남자",
"아시아","특정감염성 및 기생충성질환","2001","여자",
"아시아","- 호흡기결핵","2001","합계",
"아시아","- 호흡기결핵","2001","남자",
"아시아","- 호흡기결핵","2001","여자",
"아시아","악성신생물(암)","2001","합계",
"아시아","악성신생물(암)","2001","남자",
"아시아","악성신생물(암)","2001","여자",
"아시아","- 위","2001","합계",
"아시아","- 위","2001","남자",
"아시아","- 위","2001","여자",
"아시아","- 간 및 간내 쓸개관","2001","합계",
"아시아","- 간 및 간내 쓸개관","2001","남자",
"아시아","- 간 및 간내 쓸개관","2001","여자",
"아시아","- 기관·기관지 및 폐","2001","합계",
"아시아","- 기관·기관지 및 폐","2001","남자",
"아시아","- 기관·기관지 및 폐","2001","여자",
"아시아","- 유방","2001","합계",
"아시아","- 유방","2001","남자",
"아시아","- 유방","2001","여자",
"아시아","당뇨병","2001","합계",
"아시아","당뇨병","2001","남자",
"아시아","당뇨병","2001","여자",
"아시아","순환기계통의 질환","2001","합계",
"아시아","순환기계통의 질환","2001","남자",
"아시아","순환기계통의 질환","2001","여자",
"아시아","- 고혈압성질환","2001","합계",
"아시아","- 고혈압성질환","2001","남자",
"아시아","- 고혈압성질환","2001","여자",
"아시아","- 허혈성심질환","2001","합계",
"아시아","- 허혈성심질환","2001","남자",
"아시아","- 허혈성심질환","2001","여자",
"아시아","- 뇌혈관질환","2001","합계",
"아시아","- 뇌혈관질환","2001","남자",
"아시아","- 뇌혈관질환","2001","여자",
"아시아","호흡기계통의 질환","2001","합계",
"아시아","호흡기계통의 질환","2001","남자",
"아시아","호흡기계통의 질환","2001","여자",
"아시아","소화기계통의 질환","2001","합계",
"아시아","소화기계통의 질환","2001","남자",
"아시아","소화기계통의 질환","2001","여자",
"아시아","- 간질환","2001","합계",
"아시아","- 간질환","2001","남자",
"아시아","- 간질환","2001","여자",
"아시아","사망의 외부요인","2001","합계",
"아시아","사망의 외부요인","2001","남자",
"아시아","사망의 외부요인","2001","여자",
"아시아","- 운수사고","2001","합계",
"아시아","- 운수사고","2001","남자",
"아시아","- 운수사고","2001","여자",
"아시아","- 고의적 자해(자살)","2001","합계",
"아시아","- 고의적 자해(자살)","2001","남자",
"아시아","- 고의적 자해(자살)","2001","여자",
"한국","총사망자","2001","합계",580.6
"한국","총사망자","2001","남자",789.0
"한국","총사망자","2001","여자",430.9
"한국","특정감염성 및 기생충성질환","2001","합계",13.4
"한국","특정감염성 및 기생충성질환","2001","남자",21.3
"한국","특정감염성 및 기생충성질환","2001","여자",8.2
"한국","- 호흡기결핵","2001","합계",7.7
"한국","- 호흡기결핵","2001","남자",13.9
"한국","- 호흡기결핵","2001","여자",3.8
"한국","악성신생물(암)","2001","합계",132.8
"한국","악성신생물(암)","2001","남자",207.1
"한국","악성신생물(암)","2001","여자",83.1
"한국","- 위","2001","합계",25.9
"한국","- 위","2001","남자",41.2
"한국","- 위","2001","여자",15.6
"한국","- 간 및 간내 쓸개관","2001","합계",22.0
"한국","- 간 및 간내 쓸개관","2001","남자",37.4
"한국","- 간 및 간내 쓸개관","2001","여자",9.6
"한국","- 기관·기관지 및 폐","2001","합계",27.5
"한국","- 기관·기관지 및 폐","2001","남자",51.6
"한국","- 기관·기관지 및 폐","2001","여자",11.9
"한국","- 유방","2001","여자",4.6
"한국","당뇨병","2001","합계",26.8
"한국","당뇨병","2001","남자",32.6
"한국","당뇨병","2001","여자",22.4
"한국","순환기계통의 질환","2001","합계",140.9
"한국","순환기계통의 질환","2001","남자",175.5
"한국","순환기계통의 질환","2001","여자",116.7
"한국","- 고혈압성질환","2001","합계",12.6
"한국","- 고혈압성질환","2001","남자",13.2
"한국","- 고혈압성질환","2001","여자",12.2
"한국","- 허혈성심질환","2001","합계",25.0
"한국","- 허혈성심질환","2001","남자",34.0
"한국","- 허혈성심질환","2001","여자",18.5
"한국","- 뇌혈관질환","2001","합계",86.2
"한국","- 뇌혈관질환","2001","남자",107.8
"한국","- 뇌혈관질환","2001","여자",71.9
"한국","호흡기계통의 질환","2001","합계",40.3
"한국","호흡기계통의 질환","2001","남자",65.8
"한국","호흡기계통의 질환","2001","여자",26.6
"한국","소화기계통의 질환","2001","합계",31.6
"한국","소화기계통의 질환","2001","남자",51.2
"한국","소화기계통의 질환","2001","여자",15.3
"한국","- 간질환","2001","합계",22.1
"한국","- 간질환","2001","남자",38.5
"한국","- 간질환","2001","여자",8.1
"한국","사망의 외부요인","2001","합계",60.7
"한국","사망의 외부요인","2001","남자",89.9
"한국","사망의 외부요인","2001","여자",35.0
"한국","- 운수사고","2001","합계",20.8
"한국","- 운수사고","2001","남자",32.0
"한국","- 운수사고","2001","여자",10.8
"한국","- 고의적 자해(자살)","2001","합계",13.9
"한국","- 고의적 자해(자살)","2001","남자",20.9
"한국","- 고의적 자해(자살)","2001","여자",7.9
"아르메니아","총사망자","2001","합계",619.0
"아르메니아","총사망자","2001","남자",739.4
"아르메니아","총사망자","2001","여자",517.4
"아르메니아","특정감염성 및 기생충성질환","2001","합계",7.5
"아르메니아","특정감염성 및 기생충성질환","2001","남자",11.8
"아르메니아","특정감염성 및 기생충성질환","2001","여자",3.8
"아르메니아","- 호흡기결핵","2001","합계",3.7
"아르메니아","- 호흡기결핵","2001","남자",7.0
"아르메니아","- 호흡기결핵","2001","여자",0.9
"아르메니아","악성신생물(암)","2001","합계",102.2
"아르메니아","악성신생물(암)","2001","남자",128.5
"아르메니아","악성신생물(암)","2001","여자",82.7
"아르메니아","- 위","2001","합계",10.7
"아르메니아","- 위","2001","남자",14.6
"아르메니아","- 위","2001","여자",7.7
