"국가별","항목","시점","성별",데이터
"아시아","총사망자","2003","합계",
"아시아","총사망자","2003","남자",
"아시아","총사망자","2003","여자",
"아시아","특정감염성 및 기생충성질환","2003","합계",
"아시아","특정감염성 및 기생충성질환","2003","남자",
"아시아","특정감염성 및 기생충성질환","2003","여자",
"아시아","- 호흡기결핵","2003","합계",
"아시아","- 호흡기결핵","2003","남자",
"아시아","- 호흡기결핵","2003","여자",
"아시아","악성신생물(암)","2003","합계",
"아시아","악성신생물(암)","2003","남자",
"아시아","악성신생물(암)","2003","여자",
"아시아","- 위","2003","합계",
"아시아","- 위","2003","남자",
"아시아","- 위","2003","여자",
"아시아","- 간 및 간내 쓸개관","2003","합계",
"아시아","- 간 및 간내 쓸개관","2003","남자",
"아시아","- 간 및 간내 쓸개관","2003","여자",
"아시아","- 기관·기관지 및 폐","2003","합계",
"아시아","- 기관·기관지 및 폐","2003","남자",
"아시아","- 기관·기관지 및 폐","2003","여자",
"아시아","- 유방","2003","합계",
"아시아","- 유방","2003","남자",
"아시아","- 유방","2003","여자",
"아시아","당뇨병","2003","합계",
"아시아","당뇨병","2003","남자",
"아시아","당뇨병","2003","여자",
"아시아","순환기계통의 질환","2003","합계",
"아시아","순환기계통의 질환","2003","남자",
"아시아","순환기계통의 질환","2003","여자",
"아시아","- 고혈압성질환","2003","합계",
"아시아","- 고혈압성질환","2003","남자",
"아시아","- 고혈압성질환","2003","여자",
"아시아","- 허혈성심질환","2003","합계",
"아시아","- 허혈성심질환","2003","남자",
"아시아","- 허혈성심질환","2003","여자",
"아시아","- 뇌혈관질환","2003","합계",
"아시아","- 뇌혈관질환","2003","남자",
"아시아","- 뇌혈관질환","2003","여자",
"아시아","호흡기계통의 질환","2003","합계",
"아시아","호흡기계통의 질환","2003","남자",
"아시아","호흡기계통의 질환","2003","여자",
"아시아","소화기계통의 질환","2003","합계",
"아시아","소화기계통의 질환","2003","남자",
"아시아","소화기계통의 질환","2003","여자",
"아시아","- 간질환","2003","합계",
"아시아","- 간질환","2003","남자",
"아시아","- 간질환","2003","여자",
"아시아","사망의 외부요인","2003","합계",
"아시아","사망의 외부요인","2003","남자",
"아시아","사망의 외부요인","2003","여자",
"아시아","- 운수사고","2003","합계",
"아시아","- 운수사고","2003","남자",
"아시아","- 운수사고","2003","여자",
"아시아","- 고의적 자해(자살)","2003","합계",
"아시아","- 고의적 자해(자살)","2003","남자",
"아시아","- 고의적 자해(자살)","2003","여자",
"한국","총사망자","2003","합계",544.1
"한국","총사망자","2003","남자",736.4
"한국","총사망자","2003","여자",405.0
"한국","특정감염성 및 기생충성질환","2003","합계",11.6
"한국","특정감염성 및 기생충성질환","2003","남자",18.9
"한국","특정감염성 및 기생충성질환","2003","여자",6.7
"한국","- 호흡기결핵","2003","합계",7.5
"한국","- 호흡기결핵","2003","남자",13.5
"한국","- 호흡기결핵","2003","여자",3.8
"한국","악성신생물(암)","2003","합계",132.9
"한국","악성신생물(암)","2003","남자",206.4
"한국","악성신생물(암)","2003","여자",84.2
"한국","- 위","2003","합계",24.6
"한국","- 위","2003","남자",39.6
"한국","- 위","2003","여자",14.8
"한국","- 간 및 간내 쓸개관","2003","합계",22.0
"한국","- 간 및 간내 쓸개관","2003","남자",37.0
"한국","- 간 및 간내 쓸개관","2003","여자",9.9
"한국","- 기관·기관지 및 폐","2003","합계",27.0
"한국","- 기관·기관지 및 폐","2003","남자",50.1
"한국","- 기관·기관지 및 폐","2003","여자",12.1
"한국","- 유방","2003","여자",5.1
"한국","당뇨병","2003","합계",26.1
"한국","당뇨병","2003","남자",31.5
"한국","당뇨병","2003","여자",21.7
"한국","순환기계통의 질환","2003","합계",135.0
"한국","순환기계통의 질환","2003","남자",164.1
"한국","순환기계통의 질환","2003","여자",113.8
"한국","- 고혈압성질환","2003","합계",12.3
