"국가별","항목","시점","성별",데이터
"아시아","총사망자","2004","합계",
"아시아","총사망자","2004","남자",
"아시아","총사망자","2004","여자",
"아시아","특정감염성 및 기생충성질환","2004","합계",
"아시아","특정감염성 및 기생충성질환","2004","남자",
"아시아","특정감염성 및 기생충성질환","2004","여자",
"아시아","- 호흡기결핵","2004","합계",
"아시아","- 호흡기결핵","2004","남자",
"아시아","- 호흡기결핵","2004","여자",
"아시아","악성신생물(암)","2004","합계",
"아시아","악성신생물(암)","2004","남자",
"아시아","악성신생물(암)","2004","여자",
"아시아","- 위","2004","합계",
"아시아","- 위","2004","남자",
"아시아","- 위","2004","여자",
"아시아","- 간 및 간내 쓸개관","2004","합계",
"아시아","- 간 및 간내 쓸개관","2004","남자",
"아시아","- 간 및 간내 쓸개관","2004","여자",
"아시아","- 기관·기관지 및 폐","2004","합계",
"아시아","- 기관·기관지 및 폐","2004","남자",
"아시아","- 기관·기관지 및 폐","2004","여자",
"아시아","- 유방","2004","합계",
"아시아","- 유방","2004","남자",
"아시아","- 유방","2004","여자",
"아시아","당뇨병","2004","합계",
"아시아","당뇨병","2004","남자",
"아시아","당뇨병","2004","여자",
"아시아","순환기계통의 질환","2004","합계",
"아시아","순환기계통의 질환","2004","남자",
"아시아","순환기계통의 질환","2004","여자",
"아시아","- 고혈압성질환","2004","합계",
"아시아","- 고혈압성질환","2004","남자",
"아시아","- 고혈압성질환","2004","여자",
"아시아","- 허혈성심질환","2004","합계",
"아시아","- 허혈성심질환","2004","남자",
"아시아","- 허혈성심질환","2004","여자",
"아시아","- 뇌혈관질환","2004","합계",
"아시아","- 뇌혈관질환","2004","남자",
"아시아","- 뇌혈관질환","2004","여자",
"아시아","호흡기계통의 질환","2004","합계",
"아시아","호흡기계통의 질환","2004","남자",
"아시아","호흡기계통의 질환","2004","여자",
"아시아","소화기계통의 질환","2004","합계",
"아시아","소화기계통의 질환","2004","남자",
"아시아","소화기계통의 질환","2004","여자",
"아시아","- 간질환","2004","합계",
"아시아","- 간질환","2004","남자",
"아시아","- 간질환","2004","여자",
"아시아","사망의 외부요인","2004","합계",
"아시아","사망의 외부요인","2004","남자",
"아시아","사망의 외부요인","2004","여자",
"아시아","- 운수사고","2004","합계",
"아시아","- 운수사고","2004","남자",
"아시아","- 운수사고","2004","여자",
"아시아","- 고의적 자해(자살)","2004","합계",
"아시아","- 고의적 자해(자살)","2004","남자",
"아시아","- 고의적 자해(자살)","2004","여자",
"한국","총사망자","2004","합계",522.7
"한국","총사망자","2004","남자",709.8
"한국","총사망자","2004","여자",386.7
"한국","특정감염성 및 기생충성질환","2004","합계",10.7
"한국","특정감염성 및 기생충성질환","2004","남자",17.0
"한국","특정감염성 및 기생충성질환","2004","여자",6.4
"한국","- 호흡기결핵","2004","합계",6.4
"한국","- 호흡기결핵","2004","남자",11.4
"한국","- 호흡기결핵","2004","여자",3.1
"한국","악성신생물(암)","2004","합계",129.5
"한국","악성신생물(암)","2004","남자",201.4
"한국","악성신생물(암)","2004","여자",81.2
"한국","- 위","2004","합계",22.5
"한국","- 위","2004","남자",35.7
"한국","- 위","2004","여자",13.5
"한국","- 간 및 간내 쓸개관","2004","합계",21.2
"한국","- 간 및 간내 쓸개관","2004","남자",35.5
"한국","- 간 및 간내 쓸개관","2004","여자",9.3
"한국","- 기관·기관지 및 폐","2004","합계",27.0
"한국","- 기관·기관지 및 폐","2004","남자",50.4
"한국","- 기관·기관지 및 폐","2004","여자",11.8
"한국","- 유방","2004","여자",5.2
"한국","당뇨병","2004","합계",24.2
"한국","당뇨병","2004","남자",29.3
"한국","당뇨병","2004","여자",20.2
"한국","순환기계통의 질환","2004","합계",125.1
"한국","순환기계통의 질환","2004","남자",153.4
"한국","순환기계통의 질환","2004","여자",104.5
"한국","- 고혈압성질환","2004","합계",11.3
"한국","- 고혈압성질환","2004","남자",10.4
"한국","- 고혈압성질환","2004","여자",11.6
"한국","- 허혈성심질환","2004","합계",27.1
"한국","- 허혈성심질환","2004","남자",35.8
"한국","- 허혈성심질환","2004","여자",20.5
"한국","- 뇌혈관질환","2004","합계",73.0
"한국","- 뇌혈관질환","2004","남자",90.3
"한국","- 뇌혈관질환","2004","여자",61.4
"한국","호흡기계통의 질환","2004","합계",31.9
"한국","호흡기계통의 질환","2004","남자",54.9
"한국","호흡기계통의 질환","2004","여자",19.4
"한국","소화기계통의 질환","2004","합계",23.5
"한국","소화기계통의 질환","2004","남자",38.1
"한국","소화기계통의 질환","2004","여자",10.8
"한국","- 간질환","2004","합계",17.3
"한국","- 간질환","2004","남자",30.0
"한국","- 간질환","2004","여자",5.9
"한국","사망의 외부요인","2004","합계",60.1
"한국","사망의 외부요인","2004","남자",89.5
"한국","사망의 외부요인","2004","여자",34.5
"한국","- 운수사고","2004","합계",16.3
"한국","- 운수사고","2004","남자",25.5
"한국","- 운수사고","2004","여자",8.2
"한국","- 고의적 자해(자살)","2004","합계",21.8
"한국","- 고의적 자해(자살)","2004","남자",32.4
"한국","- 고의적 자해(자살)","2004","여자",13.0
"아제르바이잔","총사망자","2004","합계",792.6
"아제르바이잔","총사망자","2004","남자",936.7
"아제르바이잔","총사망자","2004","여자",666.5
"아제르바이잔","특정감염성 및 기생충성질환","2004","합계",15.0
"아제르바이잔","특정감염성 및 기생충성질환","2004","남자",23.3
"아제르바이잔","특정감염성 및 기생충성질환","2004","여자",7.8
"아제르바이잔","- 호흡기결핵","2004","합계",10.5
"아제르바이잔","- 호흡기결핵","2004","남자",18.5
"아제르바이잔","- 호흡기결핵","2004","여자",3.5
"아제르바이잔","악성신생물(암)","2004","합계",89.5
"아제르바이잔","악성신생물(암)","2004","남자",111.1
"아제르바이잔","악성신생물(암)","2004","여자",72.8
"아제르바이잔","- 위","2004","합계",16.8
"아제르바이잔","- 위","2004","남자",23.5
"아제르바이잔","- 위","2004","여자",11.6
"아제르바이잔","- 간 및 간내 쓸개관","2004","합계",6.7
"아제르바이잔","- 간 및 간내 쓸개관","2004","남자",8.2
"아제르바이잔","- 간 및 간내 쓸개관","2004","여자",5.5
"아제르바이잔","- 기관·기관지 및 폐","2004","합계",13.5
"아제르바이잔","- 기관·기관지 및 폐","2004","남자",23.8
"아제르바이잔","- 기관·기관지 및 폐","2004","여자",5.0
"아제르바이잔","- 유방","2004","여자",11.3
"아제르바이잔","당뇨병","2004","합계",20.1
"아제르바이잔","당뇨병","2004","남자",19.3
"아제르바이잔","당뇨병","2004","여자",20.9
"아제르바이잔","순환기계통의 질환","2004","합계",475.9
"아제르바이잔","순환기계통의 질환","2004","남자",544.6
"아제르바이잔","순환기계통의 질환","2004","여자",412.4
"아제르바이잔","- 고혈압성질환","2004","합계",101.7
"아제르바이잔","- 고혈압성질환","2004","남자",100.6
"아제르바이잔","- 고혈압성질환","2004","여자",99.6
"아제르바이잔","- 허혈성심질환","2004","합계",206.3
"아제르바이잔","- 허혈성심질환","2004","남자",267.6
"아제르바이잔","- 허혈성심질환","2004","여자",155.0
"아제르바이잔","- 뇌혈관질환","2004","합계",118.1
"아제르바이잔","- 뇌혈관질환","2004","남자",120.1
