"국가별","항목","시점","성별",데이터
"아시아","총사망자","2009","합계",
"아시아","총사망자","2009","남자",
"아시아","총사망자","2009","여자",
"아시아","특정감염성 및 기생충성질환","2009","합계",
"아시아","특정감염성 및 기생충성질환","2009","남자",
"아시아","특정감염성 및 기생충성질환","2009","여자",
"아시아","- 호흡기결핵","2009","합계",
"아시아","- 호흡기결핵","2009","남자",
"아시아","- 호흡기결핵","2009","여자",
"아시아","악성신생물(암)","2009","합계",
"아시아","악성신생물(암)","2009","남자",
"아시아","악성신생물(암)","2009","여자",
"아시아","- 위","2009","합계",
"아시아","- 위","2009","남자",
"아시아","- 위","2009","여자",
"아시아","- 간 및 간내 쓸개관","2009","합계",
"아시아","- 간 및 간내 쓸개관","2009","남자",
"아시아","- 간 및 간내 쓸개관","2009","여자",
"아시아","- 기관·기관지 및 폐","2009","합계",
"아시아","- 기관·기관지 및 폐","2009","남자",
"아시아","- 기관·기관지 및 폐","2009","여자",
"아시아","- 유방","2009","합계",
"아시아","- 유방","2009","남자",
"아시아","- 유방","2009","여자",
"아시아","당뇨병","2009","합계",
"아시아","당뇨병","2009","남자",
"아시아","당뇨병","2009","여자",
"아시아","순환기계통의 질환","2009","합계",
"아시아","순환기계통의 질환","2009","남자",
"아시아","순환기계통의 질환","2009","여자",
"아시아","- 고혈압성질환","2009","합계",
"아시아","- 고혈압성질환","2009","남자",
"아시아","- 고혈압성질환","2009","여자",
"아시아","- 허혈성심질환","2009","합계",
"아시아","- 허혈성심질환","2009","남자",
"아시아","- 허혈성심질환","2009","여자",
"아시아","- 뇌혈관질환","2009","합계",
"아시아","- 뇌혈관질환","2009","남자",
"아시아","- 뇌혈관질환","2009","여자",
"아시아","호흡기계통의 질환","2009","합계",
"아시아","호흡기계통의 질환","2009","남자",
"아시아","호흡기계통의 질환","2009","여자",
"아시아","소화기계통의 질환","2009","합계",
"아시아","소화기계통의 질환","2009","남자",
"아시아","소화기계통의 질환","2009","여자",
"아시아","- 간질환","2009","합계",
"아시아","- 간질환","2009","남자",
"아시아","- 간질환","2009","여자",
"아시아","사망의 외부요인","2009","합계",
"아시아","사망의 외부요인","2009","남자",
"아시아","사망의 외부요인","2009","여자",
"아시아","- 운수사고","2009","합계",
"아시아","- 운수사고","2009","남자",
"아시아","- 운수사고","2009","여자",
"아시아","- 고의적 자해(자살)","2009","합계",
"아시아","- 고의적 자해(자살)","2009","남자",
"아시아","- 고의적 자해(자살)","2009","여자",
"한국","총사망자","2009","합계",420.7
"한국","총사망자","2009","남자",580.2
"한국","총사망자","2009","여자",305.6
"한국","특정감염성 및 기생충성질환","2009","합계",10.2
"한국","특정감염성 및 기생충성질환","2009","남자",14.2
"한국","특정감염성 및 기생충성질환","2009","여자",7.2
"한국","- 호흡기결핵","2009","합계",4.2
"한국","- 호흡기결핵","2009","남자",7.1
"한국","- 호흡기결핵","2009","여자",2.3
"한국","악성신생물(암)","2009","합계",114.2
"한국","악성신생물(암)","2009","남자",173.6
"한국","악성신생물(암)","2009","여자",73.8
"한국","- 위","2009","합계",16.6
"한국","- 위","2009","남자",26.7
"한국","- 위","2009","여자",9.7
"한국","- 간 및 간내 쓸개관","2009","합계",18.1
"한국","- 간 및 간내 쓸개관","2009","남자",30.3
"한국","- 간 및 간내 쓸개관","2009","여자",8.0
"한국","- 기관·기관지 및 폐","2009","합계",24.4
"한국","- 기관·기관지 및 폐","2009","남자",44.1
"한국","- 기관·기관지 및 폐","2009","여자",11.1
"한국","- 유방","2009","여자",5.7
"한국","당뇨병","2009","합계",16.1
"한국","당뇨병","2009","남자",20.4
"한국","당뇨병","2009","여자",12.9
"한국","순환기계통의 질환","2009","합계",91.9
"한국","순환기계통의 질환","2009","남자",114.9
"한국","순환기계통의 질환","2009","여자",74.7
"한국","- 고혈압성질환","2009","합계",8.3
"한국","- 고혈압성질환","2009","남자",7.5
"한국","- 고혈압성질환","2009","여자",8.4
"한국","- 허혈성심질환","2009","합계",21.6
"한국","- 허혈성심질환","2009","남자",29.5
"한국","- 허혈성심질환","2009","여자",15.6
"한국","- 뇌혈관질환","2009","합계",43.5
"한국","- 뇌혈관질환","2009","남자",56.1
"한국","- 뇌혈관질환","2009","여자",35.1
"한국","호흡기계통의 질환","2009","합계",29.5
"한국","호흡기계통의 질환","2009","남자",48.9
"한국","호흡기계통의 질환","2009","여자",19.0
"한국","소화기계통의 질환","2009","합계",17.3
"한국","소화기계통의 질환","2009","남자",26.3
"한국","소화기계통의 질환","2009","여자",9.4
