"기후기술분류별(1)","기후기술분류별(2)","매출규모별(1)",시점,데이터
"감축","온실가스 고정","1,000억 원 이상 2,000억 원 미만",2020,21217
"감축","온실가스 고정","100억 원 이상 600억 원 미만",2019 p),66654
"감축","온실가스 고정","600억 원 이상 2,000억 원 미만",2019 p),142462
"감축","온실가스 고정","2,000억 원 이상",2019 p),1438369
"감축","온실가스 고정","2,000억 원 이상",2020,1399682
"감축","온실가스 고정","기타(공공기관)",2019 p),13119
"감축","온실가스 고정","기타(공공기관)",2020,23634
"적응","소계","전체",2019 p),13796427
"적응","소계","전체",2020,14683310
"적응","소계","100억 원 미만",2019 p),1419358
"적응","소계","100억 원 미만",2020,1652910
"적응","소계","100억 원 이상 500억 원 미만",2020,1583701
"적응","소계","500억 원 이상 1,000억 원 미만",2020,716436
"적응","소계","1,000억 원 이상 2,000억 원 미만",2020,618723
"적응","소계","100억 원 이상 600억 원 미만",2019 p),1287332
"적응","소계","600억 원 이상 2,000억 원 미만",2019 p),725937
"적응","소계","2,000억 원 이상",2019 p),3291221
"적응","소계","2,000억 원 이상",2020,9847633
"적응","소계","기타(공공기관)",2019 p),7072581
"적응","소계","기타(공공기관)",2020,263907
"적응","농업&축산","전체",2019 p),4301301
"적응","농업&축산","전체",2020,3722596
"적응","농업&축산","100억 원 미만",2019 p),450574
"적응","농업&축산","100억 원 미만",2020,522585
"적응","농업&축산","100억 원 이상 500억 원 미만",2020,182436
"적응","농업&축산","500억 원 이상 1,000억 원 미만",2020,135205
"적응","농업&축산","1,000억 원 이상 2,000억 원 미만",2020,95554
"적응","농업&축산","100억 원 이상 600억 원 미만",2019 p),261322
"적응","농업&축산","600억 원 이상 2,000억 원 미만",2019 p),239931
"적응","농업&축산","2,000억 원 이상",2019 p),2616954
"적응","농업&축산","2,000억 원 이상",2020,2712690
"적응","농업&축산","기타(공공기관)",2019 p),732521
"적응","농업&축산","기타(공공기관)",2020,74126
"적응","물관리","전체",2019 p),9495126
"적응","물관리","전체",2020,10370154
"적응","물관리","100억 원 미만",2019 p),968784
"적응","물관리","100억 원 미만",2020,1035412
"적응","물관리","100억 원 이상 500억 원 미만",2020,1162961
"적응","물관리","500억 원 이상 1,000억 원 미만",2020,464110
"적응","물관리","1,000억 원 이상 2,000억 원 미만",2020,500916
"적응","물관리","100억 원 이상 600억 원 미만",2019 p),1026010
"적응","물관리","600억 원 이상 2,000억 원 미만",2019 p),486006
"적응","물관리","2,000억 원 이상",2019 p),674267
"적응","물관리","2,000억 원 이상",2020,7091323
"적응","물관리","기타(공공기관)",2019 p),6340060
"적응","물관리","기타(공공기관)",2020,115433
"적응","예측?모니터링","전체",2020,81257
"적응","예측?모니터링","100억 원 미만",2020,26758
"적응","예측?모니터링","100억 원 이상 500억 원 미만",2020,5781
"적응","예측?모니터링","500억 원 이상 1,000억 원 미만",2020,-
"적응","예측?모니터링","1,000억 원 이상 2,000억 원 미만",2020,-
"적응","예측?모니터링","2,000억 원 이상",2020,-
"적응","예측?모니터링","기타(공공기관)",2020,48717
"적응","해양수산연안","전체",2020,59373
"적응","해양수산연안","100억 원 미만",2020,10923
"적응","해양수산연안","100억 원 이상 500억 원 미만",2020,12061
"적응","해양수산연안","500억 원 이상 1,000억 원 미만",2020,22389
"적응","해양수산연안","1,000억 원 이상 2,000억 원 미만",2020,-
"적응","해양수산연안","2,000억 원 이상",2020,-
"적응","해양수산연안","기타(공공기관)",2020,14000
"적응","건강","전체",2020,386857
"적응","건강","100억 원 미만",2020,24129
"적응","건강","100억 원 이상 500억 원 미만",2020,202122
"적응","건강","500억 원 이상 1,000억 원 미만",2020,94732
"적응","건강","1,000억 원 이상 2,000억 원 미만",2020,22253
"적응","건강","2,000억 원 이상",2020,43620
"적응","건강","기타(공공기관)",2020,-
"적응","산림육상","전체",2020,63073
"적응","산림육상","100억 원 미만",2020,33103
"적응","산림육상","100억 원 이상 500억 원 미만",2020,18339
"적응","산림육상","500억 원 이상 1,000억 원 미만",2020,-
"적응","산림육상","1,000억 원 이상 2,000억 원 미만",2020,-
"적응","산림육상","2,000억 원 이상",2020,-
"적응","산림육상","기타(공공기관)",2020,11631
"융복합","소계","전체",2019 p),1788211
"융복합","소계","전체",2020,1788438
"융복합","소계","100억 원 미만",2019 p),98481
"융복합","소계","100억 원 미만",2020,139878
"융복합","소계","100억 원 이상 500억 원 미만",2020,120015
"융복합","소계","500억 원 이상 1,000억 원 미만",2020,158478
"융복합","소계","1,000억 원 이상 2,000억 원 미만",2020,346388
"융복합","소계","100억 원 이상 600억 원 미만",2019 p),198444
"융복합","소계","600억 원 이상 2,000억 원 미만",2019 p),215383
"융복합","소계","2,000억 원 이상",2019 p),1275903
"융복합","소계","2,000억 원 이상",2020,1023679
"융복합","소계","기타(공공기관)",2019 p),0
"융복합","소계","기타(공공기관)",2020,0
"융복합","감축 및 적응 융복합","전체",2019 p),1788211
"융복합","감축 및 적응 융복합","전체",2020,1788438
"융복합","감축 및 적응 융복합","100억 원 미만",2019 p),98481
"융복합","감축 및 적응 융복합","100억 원 미만",2020,139878
"융복합","감축 및 적응 융복합","100억 원 이상 500억 원 미만",2020,120015
"융복합","감축 및 적응 융복합","500억 원 이상 1,000억 원 미만",2020,158478
"융복합","감축 및 적응 융복합","1,000억 원 이상 2,000억 원 미만",2020,346388
"융복합","감축 및 적응 융복합","100억 원 이상 600억 원 미만",2019 p),198444
"융복합","감축 및 적응 융복합","600억 원 이상 2,000억 원 미만",2019 p),215383
"융복합","감축 및 적응 융복합","2,000억 원 이상",2019 p),1275903
"융복합","감축 및 적응 융복합","2,000억 원 이상",2020,1023679
"융복합","감축 및 적응 융복합","기타(공공기관)",2019 p),0
"융복합","감축 및 적응 융복합","기타(공공기관)",2020,0
