"기후기술분류별(1)","기후기술분류별(2)","매출규모별(1)",시점,데이터
"감축","에너지저장","기타(공공기관)",2020,0
"감축","송배전&전력IT","전체",2019 p),4975952
"감축","송배전&전력IT","전체",2020,2252141
"감축","송배전&전력IT","100억 원 미만",2019 p),18439
"감축","송배전&전력IT","100억 원 미만",2020,174519
"감축","송배전&전력IT","100억 원 이상 500억 원 미만",2020,94690
"감축","송배전&전력IT","500억원 이상  1,000억원 미만",2020,192030
"감축","송배전&전력IT","1,000억 원 이상 2,000억 원 미만",2020,765295
"감축","송배전&전력IT","100억 원 이상 600억 원 미만",2019 p),23852
"감축","송배전&전력IT","600억 원 이상 2,000억 원 미만",2019 p),262393
"감축","송배전&전력IT","2,000억 원 이상",2019 p),4671268
"감축","송배전&전력IT","2,000억 원 이상",2020,1025607
"감축","송배전&전력IT","기타(공공기관)",2020,0
"감축","에너지수요","전체",2019 p),11685328
"감축","에너지수요","전체",2020,9621034
"감축","에너지수요","100억 원 미만",2019 p),278558
"감축","에너지수요","100억 원 미만",2020,108302
"감축","에너지수요","100억 원 이상 500억 원 미만",2020,719450
"감축","에너지수요","500억원 이상  1,000억원 미만",2020,473964
"감축","에너지수요","1,000억 원 이상 2,000억 원 미만",2020,945233
"감축","에너지수요","100억 원 이상 600억 원 미만",2019 p),738388
"감축","에너지수요","600억 원 이상 2,000억 원 미만",2019 p),2936159
"감축","에너지수요","2,000억 원 이상",2019 p),7732223
"감축","에너지수요","2,000억 원 이상",2020,7203834
"감축","에너지수요","기타(공공기관)",2020,170251
"감축","온실가스 고정","전체",2019 p),68808
"감축","온실가스 고정","전체",2020,20967
"감축","온실가스 고정","100억 원 미만",2019 p),22995
"감축","온실가스 고정","100억 원 미만",2020,2713
"감축","온실가스 고정","100억 원 이상 500억 원 미만",2020,4107
"감축","온실가스 고정","500억원 이상  1,000억원 미만",2020,-
"감축","온실가스 고정","1,000억 원 이상 2,000억 원 미만",2020,0
"감축","온실가스 고정","100억 원 이상 600억 원 미만",2019 p),17718
"감축","온실가스 고정","600억 원 이상 2,000억 원 미만",2019 p),28095
"감축","온실가스 고정","2,000억 원 이상",2019 p),-
"감축","온실가스 고정","2,000억 원 이상",2020,14146
"감축","온실가스 고정","기타(공공기관)",2020,0
"적응","소계","전체",2019 p),1567451
"적응","소계","전체",2020,1770587
"적응","소계","100억 원 미만",2019 p),131337
"적응","소계","100억 원 미만",2020,160146
"적응","소계","100억 원 이상 500억 원 미만",2020,140516
"적응","소계","500억원 이상  1,000억원 미만",2020,61811
"적응","소계","1,000억 원 이상 2,000억 원 미만",2020,72514
"적응","소계","100억 원 이상 600억 원 미만",2019 p),112649
"적응","소계","600억 원 이상 2,000억 원 미만",2019 p),76153
"적응","소계","2,000억 원 이상",2019 p),1247313
"적응","소계","2,000억 원 이상",2020,1335600
"적응","소계","기타(공공기관)",2020,0
"적응","농업&축산","전체",2019 p),1380736
"적응","농업&축산","전체",2020,1226029
"적응","농업&축산","100억 원 미만",2019 p),96905
"적응","농업&축산","100억 원 미만",2020,53176
"적응","농업&축산","100억 원 이상 500억 원 미만",2020,13745
"적응","농업&축산","500억원 이상  1,000억원 미만",2020,25445
"적응","농업&축산","1,000억 원 이상 2,000억 원 미만",2020,14013
"적응","농업&축산","100억 원 이상 600억 원 미만",2019 p),22036
"적응","농업&축산","600억 원 이상 2,000억 원 미만",2019 p),53284
"적응","농업&축산","2,000억 원 이상",2019 p),1208512
"적응","농업&축산","2,000억 원 이상",2020,1119650
"적응","농업&축산","기타(공공기관)",2020,0
"적응","물관리","전체",2019 p),186715
"적응","물관리","전체",2020,456784
"적응","물관리","100억 원 미만",2019 p),34432
"적응","물관리","100억 원 미만",2020,95114
"적응","물관리","100억 원 이상 500억 원 미만",2020,71911
"적응","물관리","500억원 이상  1,000억원 미만",2020,19714
"적응","물관리","1,000억 원 이상 2,000억 원 미만",2020,56276
"적응","물관리","100억 원 이상 600억 원 미만",2019 p),90613
"적응","물관리","600억 원 이상 2,000억 원 미만",2019 p),22869
"적응","물관리","2,000억 원 이상",2019 p),38801
"적응","물관리","2,000억 원 이상",2020,213769
"적응","물관리","기타(공공기관)",2020,0
"적응","예측?모니터링","전체",2020,12703
"적응","예측?모니터링","100억 원 미만",2020,11749
"적응","예측?모니터링","100억 원 이상 500억 원 미만",2020,954
"적응","예측?모니터링","500억원 이상  1,000억원 미만",2020,-
"적응","예측?모니터링","1,000억 원 이상 2,000억 원 미만",2020,-
"적응","예측?모니터링","2,000억 원 이상",2020,-
"적응","예측?모니터링","기타(공공기관)",2020,0
"적응","해양수산연안","전체",2020,3070
"적응","해양수산연안","100억 원 미만",2020,61
"적응","해양수산연안","100억 원 이상 500억 원 미만",2020,1036
"적응","해양수산연안","500억원 이상  1,000억원 미만",2020,1972
"적응","해양수산연안","1,000억 원 이상 2,000억 원 미만",2020,-
"적응","해양수산연안","2,000억 원 이상",2020,-
"적응","해양수산연안","기타(공공기관)",2020,0
"적응","건강","전체",2020,72001
"적응","건강","100억 원 미만",2020,45
"적응","건강","100억 원 이상 500억 원 미만",2020,52870
"적응","건강","500억원 이상  1,000억원 미만",2020,14679
"적응","건강","1,000억 원 이상 2,000억 원 미만",2020,2225
"적응","건강","2,000억 원 이상",2020,2181
"적응","건강","기타(공공기관)",2020,-
"적응","산림육상","전체",2020,0
"적응","산림육상","100억 원 미만",2020,0
"적응","산림육상","100억 원 이상 500억 원 미만",2020,0
"적응","산림육상","500억원 이상  1,000억원 미만",2020,-
"적응","산림육상","1,000억 원 이상 2,000억 원 미만",2020,-
"적응","산림육상","2,000억 원 이상",2020,-
"적응","산림육상","기타(공공기관)",2020,0
"융복합","소계","전체",2019 p),568648
"융복합","소계","전체",2020,173308
"융복합","소계","100억 원 미만",2019 p),37632
"융복합","소계","100억 원 미만",2020,43019
"융복합","소계","100억 원 이상 500억 원 미만",2020,6525
"융복합","소계","500억원 이상  1,000억원 미만",2020,34330
"융복합","소계","1,000억 원 이상 2,000억 원 미만",2020,3600
"융복합","소계","100억 원 이상 600억 원 미만",2019 p),5844
"융복합","소계","600억 원 이상 2,000억 원 미만",2019 p),45605
"융복합","소계","2,000억 원 이상",2019 p),479567
"융복합","소계","2,000억 원 이상",2020,85834
"융복합","소계","기타(공공기관)",2020,0
"융복합","감축 및 적응 융복합","전체",2019 p),568648
"융복합","감축 및 적응 융복합","전체",2020,173308
"융복합","감축 및 적응 융복합","100억 원 미만",2019 p),37632
"융복합","감축 및 적응 융복합","100억 원 미만",2020,43019
"융복합","감축 및 적응 융복합","100억 원 이상 500억 원 미만",2020,6525
"융복합","감축 및 적응 융복합","500억원 이상  1,000억원 미만",2020,34330
"융복합","감축 및 적응 융복합","1,000억 원 이상 2,000억 원 미만",2020,3600
"융복합","감축 및 적응 융복합","100억 원 이상 600억 원 미만",2019 p),5844
"융복합","감축 및 적응 융복합","600억 원 이상 2,000억 원 미만",2019 p),45605
"융복합","감축 및 적응 융복합","2,000억 원 이상",2019 p),479567
"융복합","감축 및 적응 융복합","2,000억 원 이상",2020,85834
"융복합","감축 및 적응 융복합","기타(공공기관)",2020,0
