"매출규모별(1)","기후기술분류별(1)","기후기술분류별(2)",시점,데이터
"100억 원 이상 500억 원 미만","적응","농업&축산",2020,4242
"100억 원 이상 500억 원 미만","적응","물관리",2020,25282
"100억 원 이상 500억 원 미만","적응","예측?모니터링",2020,0
"100억 원 이상 500억 원 미만","적응","해양수산연안",2020,13
"100억 원 이상 500억 원 미만","적응","건강",2020,32098
"100억 원 이상 500억 원 미만","적응","산림육상",2020,200
"100억 원 이상 500억 원 미만","융복합","소계",2020,9814
"100억 원 이상 500억 원 미만","융복합","감축 및 적응 융복합",2020,9814
"500억 원 이상  1,000억 원 미만","합계","소계",2020,235295
"500억 원 이상  1,000억 원 미만","감축","소계",2020,217448
"500억 원 이상  1,000억 원 미만","감축","비재생에너지",2020,4798
"500억 원 이상  1,000억 원 미만","감축","재생에너지",2020,50559
"500억 원 이상  1,000억 원 미만","감축","신에너지",2020,21214
"500억 원 이상  1,000억 원 미만","감축","에너지저장",2020,30199
"500억 원 이상  1,000억 원 미만","감축","송배전&전력IT",2020,61065
"500억 원 이상  1,000억 원 미만","감축","에너지수요",2020,49613
"500억 원 이상  1,000억 원 미만","감축","온실가스 고정",2020,-
"500억 원 이상  1,000억 원 미만","적응","소계",2020,16347
"500억 원 이상  1,000억 원 미만","적응","농업&축산",2020,2402
"500억 원 이상  1,000억 원 미만","적응","물관리",2020,13795
"500억 원 이상  1,000억 원 미만","적응","예측?모니터링",2020,-
"500억 원 이상  1,000억 원 미만","적응","해양수산연안",2020,100
"500억 원 이상  1,000억 원 미만","적응","건강",2020,50
"500억 원 이상  1,000억 원 미만","적응","산림육상",2020,-
"500억 원 이상  1,000억 원 미만","융복합","소계",2020,1500
"500억 원 이상  1,000억 원 미만","융복합","감축 및 적응 융복합",2020,1500
"1,000억 원 이상 2,000억 원 미만","합계","소계",2020,389279
"1,000억 원 이상 2,000억 원 미만","감축","소계",2020,385260
"1,000억 원 이상 2,000억 원 미만","감축","비재생에너지",2020,12000
"1,000억 원 이상 2,000억 원 미만","감축","재생에너지",2020,33633
"1,000억 원 이상 2,000억 원 미만","감축","신에너지",2020,17040
"1,000억 원 이상 2,000억 원 미만","감축","에너지저장",2020,11620
"1,000억 원 이상 2,000억 원 미만","감축","송배전&전력IT",2020,167568
"1,000억 원 이상 2,000억 원 미만","감축","에너지수요",2020,141166
"1,000억 원 이상 2,000억 원 미만","감축","온실가스 고정",2020,2234
"1,000억 원 이상 2,000억 원 미만","적응","소계",2020,3760
"1,000억 원 이상 2,000억 원 미만","적응","농업&축산",2020,1663
"1,000억 원 이상 2,000억 원 미만","적응","물관리",2020,2098
"1,000억 원 이상 2,000억 원 미만","적응","예측?모니터링",2020,-
"1,000억 원 이상 2,000억 원 미만","적응","해양수산연안",2020,-
"1,000억 원 이상 2,000억 원 미만","적응","건강",2020,0
"1,000억 원 이상 2,000억 원 미만","적응","산림육상",2020,-
"1,000억 원 이상 2,000억 원 미만","융복합","소계",2020,259
"1,000억 원 이상 2,000억 원 미만","융복합","감축 및 적응 융복합",2020,259
"100억 원 이상 600억 원 미만","합계","소계",2019 p),463525
"100억 원 이상 600억 원 미만","감축","소계",2019 p),395784
"100억 원 이상 600억 원 미만","감축","비재생에너지",2019 p),14939
"100억 원 이상 600억 원 미만","감축","재생에너지",2019 p),81060
"100억 원 이상 600억 원 미만","감축","신에너지",2019 p),14820
"100억 원 이상 600억 원 미만","감축","에너지저장",2019 p),101412
"100억 원 이상 600억 원 미만","감축","송배전&전력IT",2019 p),44182
"100억 원 이상 600억 원 미만","감축","에너지수요",2019 p),138768
"100억 원 이상 600억 원 미만","감축","온실가스 고정",2019 p),604
"100억 원 이상 600억 원 미만","적응","소계",2019 p),53744
"100억 원 이상 600억 원 미만","적응","농업&축산",2019 p),4233
"100억 원 이상 600억 원 미만","적응","물관리",2019 p),49511
"100억 원 이상 600억 원 미만","융복합","소계",2019 p),13997
"100억 원 이상 600억 원 미만","융복합","감축 및 적응 융복합",2019 p),13997
"600억 원 이상 2,000억 원 미만","합계","소계",2019 p),915236
"600억 원 이상 2,000억 원 미만","감축","소계",2019 p),889776
"600억 원 이상 2,000억 원 미만","감축","비재생에너지",2019 p),19875
"600억 원 이상 2,000억 원 미만","감축","재생에너지",2019 p),430707
"600억 원 이상 2,000억 원 미만","감축","신에너지",2019 p),2903
"600억 원 이상 2,000억 원 미만","감축","에너지저장",2019 p),58708
"600억 원 이상 2,000억 원 미만","감축","송배전&전력IT",2019 p),25037
"600억 원 이상 2,000억 원 미만","감축","에너지수요",2019 p),349825
"600억 원 이상 2,000억 원 미만","감축","온실가스 고정",2019 p),2720
"600억 원 이상 2,000억 원 미만","적응","소계",2019 p),23239
"600억 원 이상 2,000억 원 미만","적응","농업&축산",2019 p),6600
"600억 원 이상 2,000억 원 미만","적응","물관리",2019 p),16639
"600억 원 이상 2,000억 원 미만","융복합","소계",2019 p),2221
"600억 원 이상 2,000억 원 미만","융복합","감축 및 적응 융복합",2019 p),2221
"2,000억 원 이상","합계","소계",2019 p),3724151
"2,000억 원 이상","합계","소계",2020,3262049
"2,000억 원 이상","감축","소계",2019 p),3612385
"2,000억 원 이상","감축","소계",2020,3041863
"2,000억 원 이상","감축","비재생에너지",2019 p),35750
"2,000억 원 이상","감축","비재생에너지",2020,2925
"2,000억 원 이상","감축","재생에너지",2019 p),459497
"2,000억 원 이상","감축","재생에너지",2020,373431
"2,000억 원 이상","감축","신에너지",2019 p),24189
"2,000억 원 이상","감축","신에너지",2020,96145
"2,000억 원 이상","감축","에너지저장",2019 p),1901475
"2,000억 원 이상","감축","에너지저장",2020,1653836
"2,000억 원 이상","감축","송배전&전력IT",2019 p),34615
"2,000억 원 이상","감축","송배전&전력IT",2020,80868
"2,000억 원 이상","감축","에너지수요",2019 p),1156859
"2,000억 원 이상","감축","에너지수요",2020,834127
"2,000억 원 이상","감축","온실가스 고정",2019 p),-
"2,000억 원 이상","감축","온실가스 고정",2020,532
"2,000억 원 이상","적응","소계",2019 p),54716
"2,000억 원 이상","적응","소계",2020,166938
"2,000억 원 이상","적응","농업&축산",2019 p),51333
"2,000억 원 이상","적응","농업&축산",2020,25000
"2,000억 원 이상","적응","물관리",2019 p),3383
"2,000억 원 이상","적응","물관리",2020,141938
"2,000억 원 이상","적응","예측?모니터링",2020,-
"2,000억 원 이상","적응","해양수산연안",2020,-
"2,000억 원 이상","적응","건강",2020,0
"2,000억 원 이상","적응","산림육상",2020,-
"2,000억 원 이상","융복합","소계",2019 p),57050
"2,000억 원 이상","융복합","소계",2020,53248
"2,000억 원 이상","융복합","감축 및 적응 융복합",2019 p),57050
"2,000억 원 이상","융복합","감축 및 적응 융복합",2020,53248
"기타(공공기관)","합계","소계",2019 p),2209632
"기타(공공기관)","합계","소계",2020,1926542
"기타(공공기관)","감축","소계",2019 p),1514726
"기타(공공기관)","감축","소계",2020,1484416
"기타(공공기관)","감축","비재생에너지",2019 p),117954
"기타(공공기관)","감축","비재생에너지",2020,54762
"기타(공공기관)","감축","재생에너지",2019 p),215528
"기타(공공기관)","감축","재생에너지",2020,656759
"기타(공공기관)","감축","신에너지",2019 p),90
"기타(공공기관)","감축","신에너지",2020,10105
"기타(공공기관)","감축","에너지저장",2019 p),185656
"기타(공공기관)","감축","에너지저장",2020,111548
"기타(공공기관)","감축","송배전&전력IT",2019 p),35703
"기타(공공기관)","감축","송배전&전력IT",2020,132859
"기타(공공기관)","감축","에너지수요",2019 p),958296
"기타(공공기관)","감축","에너지수요",2020,510653
"기타(공공기관)","감축","온실가스 고정",2019 p),1500
"기타(공공기관)","감축","온실가스 고정",2020,7731
"기타(공공기관)","적응","소계",2019 p),694859
"기타(공공기관)","적응","소계",2020,442062
"기타(공공기관)","적응","농업&축산",2019 p),522459
"기타(공공기관)","적응","농업&축산",2020,442062
"기타(공공기관)","적응","물관리",2019 p),172400
"기타(공공기관)","적응","물관리",2020,0
"기타(공공기관)","적응","예측?모니터링",2020,0
"기타(공공기관)","적응","해양수산연안",2020,0
"기타(공공기관)","적응","건강",2020,-
"기타(공공기관)","적응","산림육상",2020,0
"기타(공공기관)","융복합","소계",2019 p),47
"기타(공공기관)","융복합","소계",2020,64
"기타(공공기관)","융복합","감축 및 적응 융복합",2019 p),47
"기타(공공기관)","융복합","감축 및 적응 융복합",2020,64
