"기후기술분류별(1)","기후기술분류별(2)","매출규모별(1)",시점,데이터
"적응","농업&축산","2,000억 원 이상",2020,236
"적응","농업&축산","기타(공공기관)",2019 p),1032
"적응","농업&축산","기타(공공기관)",2020,439
"적응","물관리","전체",2019 p),3820
"적응","물관리","전체",2020,4030
"적응","물관리","100억 원 미만",2019 p),1219
"적응","물관리","100억 원 미만",2020,1028
"적응","물관리","100억 원 이상 500억 원 미만",2020,926
"적응","물관리","500억원 이상  1,000억 원 미만",2020,226
"적응","물관리","1,000억 원 이상 2,000억 원 미만",2020,253
"적응","물관리","100억 원 이상 600억 원 미만",2019 p),760
"적응","물관리","600억 원 이상 2,000억 원 미만",2019 p),164
"적응","물관리","2,000억 원 이상",2019 p),114
"적응","물관리","2,000억 원 이상",2020,1498
"적응","물관리","기타(공공기관)",2019 p),1562
"적응","물관리","기타(공공기관)",2020,99
"적응","예측?모니터링","전체",2020,45
"적응","예측?모니터링","100억 원 미만",2020,41
"적응","예측?모니터링","100억 원 이상 500억 원 미만",2020,1
"적응","예측?모니터링","500억원 이상  1,000억 원 미만",2020,-
"적응","예측?모니터링","1,000억 원 이상 2,000억 원 미만",2020,-
"적응","예측?모니터링","2,000억 원 이상",2020,-
"적응","예측?모니터링","기타(공공기관)",2020,3
"적응","해양수산연안","전체",2020,22
"적응","해양수산연안","100억 원 미만",2020,11
"적응","해양수산연안","100억 원 이상 500억 원 미만",2020,3
"적응","해양수산연안","500억원 이상  1,000억 원 미만",2020,8
"적응","해양수산연안","1,000억 원 이상 2,000억 원 미만",2020,-
"적응","해양수산연안","2,000억 원 이상",2020,-
"적응","해양수산연안","기타(공공기관)",2020,0
"적응","건강","전체",2020,283
"적응","건강","100억 원 미만",2020,89
"적응","건강","100억 원 이상 500억 원 미만",2020,150
"적응","건강","500억원 이상  1,000억 원 미만",2020,31
"적응","건강","1,000억 원 이상 2,000억 원 미만",2020,2
"적응","건강","2,000억 원 이상",2020,11
"적응","건강","기타(공공기관)",2020,-
"적응","산림육상","전체",2020,43
"적응","산림육상","100억 원 미만",2020,26
"적응","산림육상","100억 원 이상 500억 원 미만",2020,17
"적응","산림육상","500억원 이상  1,000억 원 미만",2020,-
"적응","산림육상","1,000억 원 이상 2,000억 원 미만",2020,-
"적응","산림육상","2,000억 원 이상",2020,-
"적응","산림육상","기타(공공기관)",2020,0
"융복합","소계","전체",2019 p),1582
"융복합","소계","전체",2020,1277
"융복합","소계","100억 원 미만",2019 p),192
"융복합","소계","100억 원 미만",2020,266
"융복합","소계","100억 원 이상 500억 원 미만",2020,87
"융복합","소계","500억원 이상  1,000억 원 미만",2020,34
"융복합","소계","1,000억 원 이상 2,000억 원 미만",2020,81
"융복합","소계","100억 원 이상 600억 원 미만",2019 p),35
"융복합","소계","600억 원 이상 2,000억 원 미만",2019 p),215
"융복합","소계","2,000억 원 이상",2019 p),588
"융복합","소계","2,000억 원 이상",2020,279
"융복합","소계","기타(공공기관)",2019 p),553
"융복합","소계","기타(공공기관)",2020,530
"융복합","감축 및 적응 융복합","전체",2019 p),1582
"융복합","감축 및 적응 융복합","전체",2020,1277
"융복합","감축 및 적응 융복합","100억 원 미만",2019 p),192
"융복합","감축 및 적응 융복합","100억 원 미만",2020,266
"융복합","감축 및 적응 융복합","100억 원 이상 500억 원 미만",2020,87
"융복합","감축 및 적응 융복합","500억원 이상  1,000억 원 미만",2020,34
"융복합","감축 및 적응 융복합","1,000억 원 이상 2,000억 원 미만",2020,81
"융복합","감축 및 적응 융복합","100억 원 이상 600억 원 미만",2019 p),35
"융복합","감축 및 적응 융복합","600억 원 이상 2,000억 원 미만",2019 p),215
"융복합","감축 및 적응 융복합","2,000억 원 이상",2019 p),588
"융복합","감축 및 적응 융복합","2,000억 원 이상",2020,279
"융복합","감축 및 적응 융복합","기타(공공기관)",2019 p),553
"융복합","감축 및 적응 융복합","기타(공공기관)",2020,530
